OT hour,Downtime,Absent percentage,Precipitation (%),UV Index,Season
2,74,19,56,0,Winter
-17,104,10,87,4,Winter
40,96,11.5,95,10,Spring
22,51,2,9,5,Spring
32,56,10,15,5,Summer
26,62,7.5,75,2,Summer
26,52,1.5,38,4,Autumn
1,63,18.5,90,0,Winter
28,55,12,79,7,Autumn
40,33,8.5,2,11,Spring
27,88,16,83,5,Summer
10,71,5.5,29,4,Winter
34,57,6.5,2,10,Summer
-9,82,1.5,77,0,Winter
17,71,10,95,0,Summer
38,43,3,5,7,Autumn
4,78,13.5,60,0,Winter
20,63,13,31,1,Spring
39,109,17,95,3,Summer
19,53,14,10,2,Winter
33,62,6.5,88,3,Spring
30,92,3.5,102,14,Winter
3,91,16,88,0,Winter
14,63,12.5,16,3,Winter
33,76,1,12,2,Winter
13,96,18.5,59,0,Summer
24,80,10,87,14,Spring
22,58,9,11,3,Autumn
34,26,7,15,10,Spring
29,66,17.5,63,1,Summer
19,68,11.5,12,3,Summer
-2,92,19.5,91,3,Winter
22,65,7,9,6,Spring
10,74,4,35,1,Spring
14,81,10,76,0,Winter
7,62,11.5,93,14,Autumn
41,93,29.5,90,3,Summer
-6,62,19,74,0,Winter
29,95,10,87,1,Summer
4,71,19,61,0,Winter
31,76,14.5,31,10,Spring
33,83,7.5,68,2,Autumn
-4,77,14,86,0,Winter
11,60,18,85,2,Autumn
32,93,9.5,80,0,Autumn
23,79,13,12,2,Spring
11,61,10,32,3,Autumn
25,63,10.5,37,2,Summer
25,32,0,1,10,Winter
29,52,12.5,47,7,Autumn
22,76,7.5,41,3,Spring
10,70,0.5,11,13,Autumn
12,66,8,89,0,Winter
29,65,7.5,53,2,Spring
26,41,5.5,7,8,Autumn
-1,99,1,97,1,Winter
27,61,8,21,1,Spring
26,55,8.5,40,2,Autumn
24,53,8.5,2,7,Spring
37,83,26.5,79,6,Summer
52,78,6.5,80,13,Winter
30,54,6.5,16,3,Winter
-10,90,8,62,1,Winter
30,58,4,19,9,Summer
27,63,17,67,3,Spring
23,64,8,0,5,Summer
-9,76,15.5,59,1,Winter
31,70,8,42,3,Autumn
11,57,5.5,15,4,Summer
24,24,3,4,10,Summer
10,86,9.5,74,0,Summer
-4,34,11,42,8,Summer
20,68,7,16,11,Autumn
-5,83,22,87,9,Winter
43,42,3,3,7,Winter
12,81,14.5,85,0,Autumn
66,86,11,106,6,Autumn
11,91,33,73,0,Winter
-6,96,10.5,75,0,Winter
46,106,20,75,8,Autumn
-4,96,19.5,90,1,Winter
25,68,8.5,29,3,Autumn
4,62,15,90,0,Winter
-2,88,10.5,101,6,Winter
12,61,5.5,50,3,Spring
-13,69,3.5,26,2,Winter
25,59,1,8,11,Spring
21,66,13,59,2,Winter
-4,65,7.5,58,1,Winter
26,28,5.5,4,7,Spring
41,23,8.5,5,10,Autumn
13,92,16,56,2,Winter
-1,94,3.5,60,1,Winter
25,40,7,4,11,Spring
21,70,20,101,13,Summer
30,50,1,15,1,Summer
10,52,11,48,1,Spring
39,38,5,14,10,Summer
38,48,8.5,3,8,Autumn
36,52,5,15,7,Autumn
-2,73,19.5,62,0,Winter
-8,88,1,70,0,Winter
30,70,8,29,3,Autumn
-9,79,2.5,56,1,Winter
21,56,13,19,1,Autumn
12,78,29,78,6,Spring
11,77,9,19,4,Autumn
12,64,10.5,68,0,Winter
15,56,12.5,39,3,Spring
13,52,8.5,35,1,Winter
20,81,9.5,66,3,Spring
34,67,1,45,1,Spring
19,29,6,84,2,Winter
43,71,12,81,10,Winter
38,106,1,81,9,Autumn
-2,78,3,21,0,Spring
-6,79,0.5,68,0,Winter
27,60,11.5,67,9,Summer
22,76,0,47,1,Summer
14,65,10.5,58,0,Summer
-9,95,19,82,1,Winter
2,80,3.5,63,1,Winter
33,24,3.5,7,5,Autumn
14,55,14,30,3,Spring
1,70,18.5,89,1,Winter
-4,73,0,81,14,Summer
12,65,11.5,32,2,Autumn
30,46,3,5,8,Autumn
41,28,5,17,9,Autumn
23,49,0.5,1,7,Autumn
-6,83,8,90,1,Winter
1,95,2.5,83,0,Winter
32,68,5.5,38,2,Autumn
-12,93,20,80,14,Winter
12,73,13.5,33,3,Spring
3,95,11.5,85,1,Winter
22,51,3,2,5,Winter
-6,96,20,78,1,Winter
15,60,13.5,61,3,Spring
42,67,4.5,7,11,Summer
-7,66,18,80,0,Winter
12,83,5,54,2,Winter
26,35,4,16,9,Summer
3,90,10,88,0,Winter
15,66,8.5,75,1,Autumn
25,74,9.5,94,2,Spring
-11,24,8,19,8,Winter
47,70,2.5,60,5,Spring
29,93,32,89,12,Summer
-7,96,16.5,50,0,Winter
27,62,8,13,8,Spring
21,41,8.5,13,11,Autumn
16,63,8,14,1,Summer
22,78,6.5,46,3,Spring
26,69,3.5,3,7,Autumn
30,57,11.5,49,2,Winter
23,99,14,76,2,Summer
10,108,6.5,82,10,Winter
35,85,14.5,81,7,Winter
33,58,8,3,10,Spring
26,68,13,37,2,Spring
-3,73,22.5,105,2,Winter
30,54,4,33,4,Summer
32,53,1,3,7,Winter
27,98,12,94,3,Spring
64,73,26.5,76,5,Autumn
25,21,1.5,19,5,Summer
16,76,10,99,2,Spring
23,89,17.5,95,5,Autumn
-9,93,6.5,54,0,Winter
30,64,8,91,0,Autumn
-11,72,3.5,69,10,Winter
2,86,13.5,72,13,Winter
-4,108,0.5,92,5,Winter
10,51,5,15,2,Summer
-1,36,8,60,10,Spring
33,43,0,13,10,Spring
75,104,5.5,87,6,Summer
19,69,18,90,2,Winter
30,108,9.5,101,8,Winter
10,76,12.5,29,3,Autumn
20,61,1,32,2,Autumn
66,80,11.5,97,9,Spring
16,98,13,75,0,Autumn
-7,66,7,76,0,Winter
39,58,5,13,9,Autumn
21,65,5.5,82,6,Autumn
23,68,1,13,3,Spring
18,56,3.5,15,1,Summer
24,92,12.5,56,3,Summer
-7,94,36,77,13,Winter
20,60,3,37,3,Winter
11,44,2.5,65,6,Spring
23,41,8,18,7,Autumn
44,35,7,2,6,Spring
25,72,18.5,96,2,Winter
20,75,13,32,3,Summer
-7,95,14,91,1,Winter
-6,93,38,97,7,Winter
62,101,19.5,77,9,Spring
38,43,1,14,10,Autumn
19,76,27.5,102,7,Winter
30,108,9,72,12,Summer
26,72,10,94,1,Summer
37,63,3.5,17,7,Winter
39,35,9.5,71,13,Autumn
40,28,2.5,13,8,Summer
21,92,12,88,2,Winter
32,59,3,15,4,Winter
10,90,6,54,0,Summer
37,61,3,13,6,Autumn
43,33,12.5,77,14,Summer
15,71,11.5,72,3,Summer
85,72,11.5,101,6,Spring
42,90,41,89,6,Spring
11,65,3.5,47,4,Summer
30,73,13,78,0,Summer
22,72,7.5,23,3,Autumn
30,72,13.5,28,4,Autumn
33,76,7.5,24,3,Autumn
34,73,6.5,92,1,Summer
22,46,12,50,11,Winter
32,53,10,43,2,Autumn
24,68,9,0,9,Winter
53,74,3,76,2,Autumn
21,104,26,95,13,Winter
32,26,5.5,10,11,Spring
44,30,2,2,11,Autumn
41,35,13,70,7,Winter
12,76,0.5,15,1,Autumn
25,63,4,0,6,Spring
-4,94,9,65,1,Winter
13,87,20,86,3,Winter
42,75,8,77,11,Spring
-7,63,14,58,0,Winter
19,57,6.5,19,2,Summer
2,60,5,60,0,Winter
23,76,9.5,38,3,Summer
-9,68,15.5,83,0,Winter
19,74,44,83,14,Summer
37,109,21,94,11,Spring
-1,96,3.5,76,0,Winter
26,65,2,34,4,Autumn
10,78,8.5,60,1,Summer
-1,70,2,57,1,Winter
-4,20,13,66,4,Winter
21,74,12,33,2,Summer
23,83,6,56,0,Summer
-15,93,3,89,14,Winter
26,74,8.5,61,2,Spring
31,61,0.5,33,3,Spring
-6,34,1.5,42,13,Autumn
12,70,18,97,0,Spring
13,55,7.5,18,1,Summer
3,87,33,86,12,Winter
12,94,19,56,2,Autumn
4,69,8.5,75,0,Winter
2,75,7.5,99,7,Winter
38,68,8.5,16,5,Spring
34,91,14,95,3,Winter
30,20,2.5,15,5,Spring
-8,81,10,75,8,Winter
21,26,2.5,3,8,Summer
-4,87,14.5,68,0,Winter
0,76,26.5,97,1,Winter
-10,95,18.5,58,0,Winter
42,50,1,11,11,Autumn
-1,60,10,50,0,Winter
-9,92,5,69,0,Winter
17,73,7,45,2,Summer
41,22,0.5,10,5,Winter
-6,73,6.5,92,1,Winter
-4,92,18.5,70,0,Winter
25,60,1,39,3,Winter
44,38,1,7,7,Autumn
43,52,10,43,7,Summer
3,70,2,68,12,Autumn
3,64,2.5,78,1,Winter
38,47,1.5,8,7,Spring
3,68,6,82,0,Winter
21,64,8.5,80,0,Spring
28,69,7.5,59,3,Winter
21,68,4.5,0,7,Spring
17,32,0,81,1,Summer
17,68,10,44,4,Spring
2,69,7.5,84,13,Summer
11,59,8.5,15,2,Winter
34,96,10,62,3,Summer
30,71,9.5,45,4,Winter
28,32,5,2,10,Summer
21,67,9,88,1,Winter
20,58,7.5,2,10,Autumn
27,81,17.5,82,4,Winter
28,48,8,15,9,Autumn
25,53,4,6,11,Spring
52,83,28.5,96,3,Winter
28,30,8,12,7,Spring
37,95,5.5,78,3,Autumn
1,95,9.5,75,1,Winter
28,54,0,28,3,Spring
34,38,5,13,10,Winter
25,64,6,34,1,Autumn
-19,93,7.5,103,14,Winter
22,65,13,31,4,Summer
36,54,3.5,9,7,Winter
28,65,13,86,2,Autumn
43,62,8,3,7,Autumn
11,83,33,104,9,Summer
1,80,12,67,0,Winter
30,25,8.5,4,8,Winter
29,27,13,22,6,Winter
20,41,2.5,11,10,Autumn
22,74,0.5,39,3,Winter
97,100,5,96,10,Autumn
-4,81,2,81,1,Winter
23,66,11,23,2,Winter
27,53,2,8,7,Spring
-4,98,0.5,54,0,Winter
32,66,13,21,3,Summer
11,102,31,85,9,Winter
24,23,9,18,7,Winter
2,61,19.5,85,1,Winter
3,72,15.5,96,0,Winter
28,92,19.5,78,2,Autumn
28,86,14,70,3,Summer
-6,99,14,72,0,Winter
23,77,13,48,3,Winter
-4,96,20.5,76,0,Winter
-9,86,25,85,10,Winter
32,64,15.5,96,0,Autumn
-10,86,19.5,79,0,Winter
28,63,4.5,18,11,Autumn
28,71,20,59,3,Winter
32,31,12,29,7,Autumn
12,99,18,65,1,Winter
4,78,9,79,0,Winter
25,54,12,49,4,Winter
32,73,5.5,73,2,Winter
33,36,9,0,11,Summer
84,81,2,71,10,Spring
-6,93,2.5,89,1,Winter
31,56,7.5,49,1,Winter
25,53,10.5,39,3,Spring
14,61,8.5,26,4,Spring
33,63,10,39,4,Autumn
-15,70,14,69,4,Summer
29,44,4,19,10,Winter
0,76,16,60,1,Winter
48,33,6.5,55,5,Winter
34,79,1.5,34,1,Winter
18,62,13.5,27,2,Summer
38,36,2,7,9,Spring
1,69,15,99,0,Winter
11,63,8,91,0,Summer
9,33,9,20,2,Spring
-5,79,9.5,72,1,Winter
13,99,18.5,70,1,Summer
20,90,17,75,3,Winter
23,21,9.5,12,6,Summer
-6,76,12,46,3,Autumn
25,40,9.5,14,6,Autumn
42,56,8,14,7,Autumn
22,42,4,8,8,Spring
1,98,19,54,0,Winter
27,78,8,21,2,Autumn
39,46,2,12,8,Winter
26,98,12,63,3,Winter
44,91,24.5,73,2,Winter
60,91,15,100,10,Summer
27,89,8,85,5,Spring
-18,28,5.5,42,8,Autumn
-5,92,9,84,1,Winter
2,71,10,59,0,Winter
19,64,5.5,27,2,Autumn
24,66,1,12,9,Autumn
41,103,24,93,6,Autumn
10,79,7,34,1,Summer
30,54,12,35,1,Autumn
21,108,34,82,6,Winter
36,36,3,16,11,Spring
12,69,8,34,4,Autumn
27,66,8.5,23,4,Spring
29,70,10,29,4,Spring
0,73,16,76,0,Winter
-6,94,7,92,1,Winter
27,87,18.5,63,2,Summer
-7,76,7.5,68,1,Winter
28,69,9,31,4,Spring
27,55,10,10,6,Winter
-2,96,14,59,1,Winter
38,58,2,15,5,Autumn
-5,60,9.5,95,1,Winter
-5,77,0.5,93,0,Winter
22,72,1.5,46,4,Autumn
45,21,14.5,29,14,Winter
33,66,10.5,99,0,Winter
-1,78,12.5,89,1,Winter
33,50,11.5,48,1,Autumn
27,70,12.5,59,2,Autumn
34,91,15.5,50,1,Winter
-13,76,38.5,70,8,Winter
25,68,7.5,99,1,Spring
4,85,19.5,77,0,Winter
-20,24,11.5,81,2,Winter
4,97,4.5,77,1,Winter
43,29,3.5,17,5,Spring
11,61,9.5,41,3,Summer
11,67,7,30,3,Spring
43,34,6,9,6,Winter
17,76,24.5,98,11,Spring
-4,64,20,62,0,Winter
14,78,8,21,3,Summer
-5,81,2,87,0,Winter
26,97,15.5,70,0,Spring
26,78,15.5,77,1,Autumn
41,54,9,4,11,Autumn
-2,78,3,97,1,Winter
28,56,9.5,16,10,Winter
-4,74,7.5,59,1,Winter
28,76,11.5,44,4,Autumn
33,94,12.5,91,0,Summer
23,93,6,77,0,Winter
12,56,13.5,21,1,Spring
11,50,5.5,28,1,Spring
-3,86,3,82,1,Winter
32,79,10,33,1,Winter
29,67,8.5,47,4,Autumn
15,72,8.5,78,0,Winter
12,80,10,64,1,Winter
-2,91,16.5,53,1,Winter
37,96,0.5,95,5,Spring
25,68,12.5,76,1,Spring
28,58,6.5,11,10,Summer
-2,62,1.5,88,1,Winter
30,80,17.5,54,3,Winter
25,58,15,12,4,Spring
-9,65,7,67,1,Winter
30,94,18,82,3,Winter
24,38,3.5,16,5,Autumn
32,30,9.5,13,6,Winter
25,66,8.5,3,6,Summer
39,102,26,94,8,Summer
12,90,15,78,0,Winter
-10,95,12.5,88,1,Winter
22,76,17.5,86,1,Summer
-5,60,11.5,61,1,Winter
30,59,9.5,22,3,Summer
-5,72,1.5,67,1,Winter
32,77,9.5,21,4,Autumn
29,54,3.5,44,4,Autumn
35,32,6.5,9,11,Spring
-1,91,19,54,0,Winter
26,94,12.5,66,0,Spring
-17,97,3,85,1,Winter
-1,96,18.5,99,1,Winter
21,87,18,51,2,Winter
15,56,2,36,3,Spring
35,57,4,5,11,Winter
11,85,8.5,71,1,Autumn
31,62,4.5,6,7,Spring
-8,85,20,63,0,Winter
17,62,10.5,29,3,Spring
10,71,2,10,3,Winter
-1,70,10.5,51,1,Winter
22,51,8,49,3,Autumn
12,64,9,14,2,Winter
25,55,12.5,39,4,Autumn
5,104,12,95,9,Autumn
31,75,5,33,4,Summer
24,54,12.5,10,1,Summer
3,98,5,62,0,Winter
12,76,6.5,47,2,Spring
26,59,6,1,10,Autumn
23,84,13,77,0,Winter
34,77,9.5,24,4,Summer
-1,96,21.5,91,1,Winter
19,99,8.5,99,7,Spring
43,48,5,26,7,Summer
-8,97,0,73,1,Winter
-9,96,0,99,1,Winter
10,68,18.5,50,2,Summer
-17,95,32,97,13,Winter
15,59,15,17,2,Summer
-4,63,12.5,66,0,Winter
30,76,3,19,4,Summer
42,32,9,17,8,Summer
40,23,2,19,7,Spring
21,41,2.5,18,8,Summer
22,99,18.5,57,2,Spring
29,62,13.5,33,4,Summer
14,58,10.5,42,3,Winter
30,21,7.5,15,5,Winter
68,84,8,92,6,Winter
1,84,8,59,0,Winter
19,63,3,27,0,Spring
-2,71,2,50,0,Winter
23,76,7,43,3,Winter
24,92,2,95,1,Winter
1,20,12.5,26,1,Autumn
-6,60,3,97,0,Winter
-9,76,7,69,1,Winter
1,78,6,58,1,Winter
-1,92,14,79,1,Winter
-7,75,4,84,1,Winter
30,57,7,35,4,Spring
58,91,12,95,11,Spring
8,71,24.5,74,6,Autumn
-2,68,15,79,0,Winter
14,88,16.5,97,0,Winter
22,71,9,38,2,Winter
-1,70,5,50,0,Winter
23,76,2,37,1,Winter
3,64,0,96,0,Winter
63,76,7,82,13,Summer
24,57,5.5,17,1,Winter
1,76,7,56,1,Winter
32,25,4,12,6,Spring
19,23,4.5,96,1,Summer
4,44,13.5,35,7,Spring
-1,86,0,51,1,Winter
21,100,17,78,2,Winter
38,64,9.5,19,5,Autumn
19,61,4.5,13,1,Autumn
24,53,11,19,3,Spring
2,73,1.5,69,1,Winter
-7,81,7.5,87,0,Winter
84,71,25.5,104,8,Autumn
14,78,10,62,1,Autumn
14,66,12,22,1,Autumn
3,63,15,52,0,Winter
10,68,4.5,11,2,Summer
16,56,3,23,1,Autumn
33,33,5,15,6,Winter
22,68,18,53,3,Summer
44,55,4,5,8,Spring
-6,92,17.5,84,0,Winter
34,68,11,59,0,Summer
23,81,18,97,2,Spring
4,73,0,88,1,Winter
-4,94,16,56,0,Winter
-12,53,10,77,2,Winter
-7,62,7,79,1,Winter
33,62,6,50,3,Winter
34,46,0,18,6,Spring
35,48,8,11,8,Spring
34,94,17,88,5,Autumn
36,42,4.5,11,11,Winter
40,48,6.5,16,9,Autumn
21,46,2,19,5,Winter
12,61,11,30,4,Winter
29,66,11.5,62,1,Autumn
6,48,1,43,11,Autumn
-1,93,18.5,77,0,Winter
22,86,5.5,59,1,Winter
51,86,3,79,11,Spring
2,71,1,52,0,Winter
31,52,9,9,6,Autumn
29,62,5.5,40,1,Winter
76,79,16,92,6,Winter
-12,20,4.5,12,14,Autumn
-6,92,4.5,97,1,Winter
-4,97,11,80,0,Winter
10,61,7,80,0,Summer
17,91,15,76,0,Summer
44,49,7,7,7,Winter
17,81,17.5,66,0,Spring
1,94,15,88,1,Winter
34,48,9,18,8,Winter
29,70,11.5,80,0,Winter
-10,64,2,81,0,Winter
54,73,2.5,71,1,Summer
24,58,14,30,2,Autumn
16,63,17.5,98,0,Summer
-7,91,15,81,1,Winter
33,79,2.5,19,2,Autumn
33,70,17,96,2,Winter
31,62,15.5,56,2,Winter
23,47,8,5,11,Winter
14,84,17,76,3,Winter
29,91,7,63,2,Winter
33,69,3.5,13,2,Summer
23,38,5.5,2,7,Summer
28,53,11,11,2,Summer
28,83,5.5,96,3,Summer
10,92,5.5,80,9,Autumn
15,55,7.5,45,3,Autumn
34,48,6.5,17,11,Summer
10,87,20,66,3,Summer
-4,74,13,69,1,Winter
30,74,12.5,14,1,Autumn
18,77,10.5,27,2,Summer
16,78,5.5,38,2,Spring
22,67,11,61,1,Autumn
13,84,15,70,3,Summer
12,94,16,57,2,Spring
0,95,10,87,1,Winter
14,52,12,13,3,Autumn
15,51,4,34,3,Spring
24,78,12.5,103,2,Autumn
-7,79,7,69,1,Winter
39,52,2,8,11,Autumn
23,60,5,9,6,Spring
10,60,14.5,78,2,Spring
15,53,8.5,24,2,Summer
19,56,8.5,38,2,Summer
28,77,8,76,11,Winter
-10,99,8,50,0,Winter
44,44,5,19,8,Spring
2,100,15,70,0,Winter
20,89,17,96,5,Winter
28,27,7.5,70,8,Winter
1,66,9,88,1,Winter
10,76,6.5,46,3,Autumn
33,50,0,11,4,Winter
31,59,10,33,2,Autumn
1,105,25,78,2,Winter
32,78,4,26,1,Winter
10,78,8,98,1,Spring
-8,93,12.5,75,1,Winter
26,71,2,38,2,Spring
35,20,4,0,10,Spring
24,46,5,12,9,Autumn
35,50,0.5,3,10,Winter
14,69,14,65,0,Spring
33,98,26.5,97,10,Winter
41,102,20,99,11,Autumn
-7,89,4.5,57,0,Winter
-14,75,2.5,63,8,Summer
40,61,9,4,11,Summer
26,66,9,28,14,Autumn
15,91,30.5,83,13,Autumn
30,79,2.5,23,1,Autumn
35,24,2.5,4,8,Winter
32,34,2,4,10,Summer
32,47,8,0,9,Winter
34,23,9,9,5,Summer
37,69,7.5,5,6,Summer
-5,96,2,93,1,Winter
21,67,8,6,9,Autumn
31,76,16.5,58,3,Winter
21,52,10,18,9,Summer
19,50,2,27,2,Summer
30,50,7,25,4,Winter
17,66,11.5,29,2,Winter
31,78,15,11,4,Summer
20,61,16.5,94,0,Autumn
10,50,13,28,4,Winter
12,69,9,28,3,Winter
2,67,16,59,0,Winter
0,82,19.5,98,0,Winter
4,99,11.5,84,0,Winter
32,83,9,55,0,Spring
21,63,9,26,4,Spring
19,70,34.5,90,8,Winter
25,100,20,107,0,Autumn
39,49,3.5,4,6,Summer
26,70,13.5,48,3,Autumn
28,24,5.5,1,5,Spring
-7,93,7.5,96,1,Winter
-7,63,10.5,91,0,Winter
18,63,8,41,2,Winter
46,102,8,105,4,Winter
2,82,18.5,73,0,Winter
18,68,10,26,1,Spring
34,84,16.5,95,0,Spring
-9,98,9,54,0,Winter
-6,24,4.5,85,3,Autumn
-4,72,16.5,91,1,Winter
-7,85,14.5,51,0,Winter
25,72,13,36,3,Summer
30,36,3.5,1,10,Summer
11,78,13.5,10,1,Summer
32,80,7,99,0,Autumn
-6,65,7.5,62,0,Winter
32,97,19,77,1,Summer
19,93,11,78,3,Summer
3,94,6,67,1,Winter
24,58,13.5,48,1,Winter
23,58,8,88,5,Spring
34,53,12.5,46,2,Autumn
19,68,13.5,22,0,Autumn
3,66,19,63,0,Winter
-5,83,16.5,76,1,Winter
3,66,13,91,1,Winter
38,90,35,71,2,Spring
4,82,15.5,66,0,Winter
3,99,11.5,63,0,Winter
34,68,5,43,1,Winter
24,49,2.5,4,10,Summer
13,71,7.5,43,1,Spring
60,104,24.5,78,9,Winter
4,66,3,64,0,Winter
22,81,19,67,3,Spring
26,24,1,5,6,Winter
28,50,1.5,13,7,Spring
-10,68,8,85,1,Winter
1,66,5.5,90,1,Winter
-6,70,12.5,55,0,Winter
4,65,1,61,1,Autumn
4,85,7.5,62,0,Winter
42,24,3,6,5,Spring
-9,86,7,87,1,Winter
-4,89,1,96,0,Winter
20,52,14,11,1,Autumn
36,57,8,9,10,Autumn
26,59,8.5,12,5,Summer
-21,89,20.5,83,4,Winter
14,56,10,37,1,Spring
32,28,9.5,8,8,Summer
52,109,22.5,89,9,Summer
26,64,2.5,26,4,Summer
27,37,3,14,5,Winter
3,93,4.5,76,1,Winter
22,32,9,10,5,Autumn
31,65,5.5,61,0,Winter
22,58,11,34,4,Winter
42,47,2,48,4,Spring
19,89,9,56,3,Autumn
2,67,16.5,59,1,Winter
22,72,17,99,7,Spring
15,69,1.5,42,3,Autumn
29,32,5.5,11,6,Winter
0,56,10,37,3,Winter
-7,76,11,57,0,Winter
30,85,19.5,88,1,Winter
34,43,5.5,10,11,Spring
-5,60,2.5,94,0,Winter
24,65,8.5,26,3,Summer
22,53,11,39,3,Winter
15,56,6.5,23,3,Autumn
11,85,18.5,78,0,Spring
1,64,6.5,63,1,Winter
76,93,0.5,71,14,Spring
-2,65,4.5,62,0,Winter
26,70,6,11,4,Spring
-4,68,17.5,73,1,Winter
21,88,14.5,91,3,Autumn
34,55,14,36,1,Summer
34,91,5.5,95,0,Autumn
18,79,10,85,3,Summer
-4,81,18,92,1,Winter
30,82,9.5,99,1,Spring
-7,78,17,80,1,Winter
24,90,6,52,1,Spring
15,60,1,17,4,Spring
40,48,4,12,9,Winter
26,24,3.5,10,7,Summer
-9,94,5,86,5,Winter
30,82,19.5,75,12,Autumn
28,66,19.5,77,0,Summer
23,91,8.5,66,2,Autumn
21,62,14,94,2,Spring
29,76,11,44,2,Winter
35,67,5,14,10,Spring
31,67,8,92,0,Spring
-6,88,11.5,75,2,Winter
-18,73,7.5,54,11,Spring
19,92,11,79,2,Winter
28,59,0.5,19,4,Spring
22,27,1.5,7,8,Winter
-4,84,19,84,1,Winter
30,93,26.5,79,11,Autumn
-10,86,2,86,1,Winter
37,86,7,81,14,Summer
24,25,0,1,5,Autumn
16,86,9,92,2,Winter
23,81,5.5,88,3,Winter
3,84,7.5,77,0,Winter
20,38,7,4,8,Winter
41,44,1.5,5,5,Winter
-6,34,11,89,0,Autumn
-1,76,4.5,101,13,Winter
1,69,5.5,67,1,Winter
-3,94,2,74,0,Winter
14,60,13,19,3,Autumn
14,74,3,22,1,Spring
10,80,17,90,3,Winter
17,74,11,72,0,Autumn
-20,35,2,45,2,Winter
21,48,6,0,7,Winter
13,65,7.5,54,1,Winter
10,59,13,40,4,Spring
32,66,6,92,2,Spring
-8,98,17,64,1,Winter
-10,96,17,82,1,Winter
24,72,5.5,38,1,Spring
23,67,15,47,3,Winter
24,38,4.5,15,9,Spring
24,41,3.5,17,7,Summer
24,70,3,39,3,Autumn
4,66,5,58,0,Winter
39,20,7.5,2,11,Winter
23,60,4.5,13,10,Summer
18,64,16.5,92,0,Winter
36,39,6,16,10,Spring
75,106,31.5,79,2,Spring
18,78,12,22,3,Winter
-6,72,11.5,57,1,Winter
28,46,2.5,11,5,Winter
26,80,9,85,0,Autumn
38,60,4.5,8,9,Spring
16,77,2.5,27,3,Summer
32,73,9.5,39,3,Winter
41,25,6.5,13,7,Summer
15,68,4,25,2,Winter
-1,65,7,68,0,Winter
28,81,16,92,2,Spring
11,52,2.5,21,4,Winter
32,78,9.5,15,4,Spring
-4,92,19,94,1,Winter
14,77,3,10,4,Autumn
13,79,14.5,77,1,Spring
18,100,19,72,12,Spring
-1,63,11,66,1,Winter
26,40,9.5,8,7,Summer
32,96,6.5,63,2,Spring
28,87,20,55,3,Spring
-9,67,8,84,0,Winter
18,85,28,75,4,Summer
24,65,5.5,74,1,Winter
27,48,1.5,9,8,Spring
29,79,14.5,95,2,Summer
66,88,30.5,106,6,Winter
54,107,26,88,4,Spring
-6,60,14,92,1,Winter
37,35,1.5,14,8,Winter
-9,84,8,91,1,Winter
-5,68,7.5,78,1,Winter
37,97,22.5,98,12,Summer
27,90,9.5,92,13,Summer
3,40,1,71,4,Autumn
29,52,2,14,4,Winter
4,91,2,64,0,Winter
40,47,9,19,8,Winter
-1,78,19,69,0,Winter
31,53,10,7,6,Spring
25,74,9.5,47,1,Spring
17,60,5.5,46,1,Spring
-7,92,9,61,1,Winter
44,58,8,10,11,Summer
29,21,5.5,16,8,Autumn
6,69,9.5,43,14,Autumn
21,36,5,6,5,Autumn
38,40,1.5,0,9,Winter
36,34,1.5,3,6,Autumn
12,64,11.5,47,4,Winter
31,43,8,18,8,Autumn
11,60,8.5,58,1,Winter
40,83,26.5,108,14,Autumn
-2,91,13.5,93,1,Winter
-6,64,18.5,85,1,Winter
30,71,2,15,4,Spring
20,57,3.5,26,2,Winter
9,106,5,107,6,Autumn
64,77,4.5,96,3,Spring
-8,61,2,80,0,Winter
54,107,10,95,8,Spring
7,87,10.5,74,0,Winter
29,42,2,0,9,Winter
20,47,8,15,9,Winter
23,43,6.5,3,11,Autumn
16,97,12,73,0,Winter
33,51,2.5,21,2,Autumn
11,32,12.5,28,12,Winter
37,54,4,16,11,Winter
13,70,6,31,4,Summer
51,92,38.5,81,5,Autumn
30,71,6,21,1,Winter
9,92,2.5,82,5,Summer
30,69,4,39,3,Autumn
0,60,10.5,69,1,Winter
24,24,6.5,11,5,Winter
-6,73,3.5,83,1,Winter
33,65,0.5,5,6,Summer
31,21,0.5,17,6,Summer
23,70,11,80,2,Winter
12,68,3.5,42,3,Autumn
-1,78,7,86,5,Winter
20,43,8,13,11,Spring
50,78,9,96,14,Summer
-2,69,3,18,13,Winter
13,76,5,25,3,Autumn
-1,100,24,93,5,Winter
2,94,8,95,0,Winter
29,35,1.5,15,8,Winter
3,62,18.5,90,0,Winter
31,66,10,75,14,Summer
-8,87,4.5,55,0,Winter
39,31,6.5,10,7,Autumn
17,60,9.5,25,2,Summer
15,76,8.5,79,1,Autumn
21,55,2,12,10,Spring
18,54,4.5,41,1,Autumn
-10,106,34,100,1,Winter
12,52,8.5,31,4,Spring
23,67,3,19,8,Summer
48,25,1.5,57,13,Spring
1,67,8.5,66,1,Winter
-4,96,12,99,0,Winter
34,76,9.5,41,2,Spring
31,89,19,72,1,Summer
-3,86,14.5,78,1,Winter
48,36,7.5,21,13,Spring
-5,80,2.5,104,11,Winter
31,79,0.5,17,3,Summer
22,31,8,15,7,Autumn
34,77,5,38,1,Spring
2,44,12,76,9,Summer
26,84,10.5,71,0,Autumn
31,30,3,10,7,Spring
26,61,6,31,2,Spring
33,65,14,14,1,Winter
